06/10/2019,1069123456,001,cash,1
06/10/2019,1069123456,002,cash,1
06/10/2019,1069123456,003,cash,1
06/10/2019,1069123456,004,cash,1
06/10/2019,1069123456,005,cash,1
06/10/2019,1069123456,006,cash,1
06/10/2019,1069123456,007,cash,1
07/10/2019,1069123456,008,credit,1
07/10/2019,1069123456,009,credit,1
08/10/2019,1069654321,010,cash,1
08/10/2019,1069654321,011,cash,1
08/10/2019,1069654321,012,cash,1
08/10/2019,1069654321,013,cash,1
09/10/2019,1069654321,014,credit,1
09/10/2019,1069654321,015,credit,1
09/10/2019,1069654321,016,credit,1
09/10/2019,1069654321,017,credit,1
09/10/2019,1069654321,018,credit,1
09/10/2019,1069654321,019,credit,1
09/10/2019,1069654321,020,credit,1
09/10/2019,1069654321,021,credit,1
10/10/2019,1069112233,022,cash,10
10/10/2019,1069112233,023,credit,10
10/10/2019,1069112233,024,credit,10
